"fecha_operacion","dia_semana","edicion","ruta","unidad","direccion_viaje","paradero","hora_programada","hora_real","personas_subieron","personas_bajaron","ahorro_unitario_mxn","impacto_economico_total_mxn","km_recorridos_por_sentido"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Base Torito","10:00:00","2026-03-01 10:05:00",0,0,12,0,"21.4"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Multiplaza Villas Del Mar","10:05:00","2026-03-01 10:09:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero ISSSTE","10:14:00","2026-03-01 10:14:00",8,0,12,96,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Rehoyada","10:25:00","2026-03-01 10:27:00",3,0,12,36,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Playa Las Perlas","10:36:00","2026-03-01 10:34:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Playa Langosta","10:41:00","2026-03-01 10:38:00",0,4,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Playa Tortugas","10:44:00","2026-03-01 10:40:00",0,4,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Base Forum","10:48:00","2026-03-01 10:45:00",0,3,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Base Forum","11:00:00","2026-03-01 11:02:00",7,0,12,84,"21.4"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Tortugas","11:06:00","2026-03-01 11:06:00",0,7,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Langosta","11:09:00","2026-03-01 11:09:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Las Perlas","11:14:00","2026-03-01 11:11:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Rehoyada","11:25:00","2026-03-01 11:19:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero ISSSTE","11:37:00","2026-03-01 11:28:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Multiplaza Villas Del Mar","11:53:00","2026-03-01 11:36:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Base Torito","12:00:00","2026-03-01 11:39:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Base Torito","12:05:00","2026-03-01 12:07:00",25,0,12,300,"21.4"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Multiplaza Villas Del Mar","12:10:00","2026-03-01 12:12:00",16,0,12,192,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero ISSSTE","12:19:00","2026-03-01 12:20:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Rehoyada","12:30:00","2026-03-01 12:31:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Playa Las Perlas","12:41:00","2026-03-01 12:38:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Playa Langosta","12:46:00","2026-03-01 12:42:00",0,9,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Playa Tortugas","12:49:00","2026-03-01 12:45:00",0,18,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Base Torito","12:05:00","2026-03-01 13:00:00",0,14,12,0,"21.4"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Base Forum","13:00:00","2026-03-01 13:03:00",5,0,12,60,"21.4"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Tortugas","13:06:00","2026-03-01 13:08:00",2,3,12,24,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Langosta","13:09:00","2026-03-01 13:11:00",4,0,12,48,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Las Perlas","13:14:00","2026-03-01 13:15:00",3,0,12,36,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Rehoyada","13:25:00","2026-03-01 13:24:00",0,6,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero ISSSTE","13:37:00","2026-03-01 13:35:00",0,3,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Multiplaza Villas Del Mar","13:53:00","2026-03-01 13:45:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Base Torito","14:00:00","2026-03-01 13:49:00",0,2,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Base Torito","15:05:00","2026-03-01 15:06:00",28,0,12,336,"21.4"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero ISSSTE","15:19:00","2026-03-01 15:12:00",3,0,12,36,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Multiplaza Villas Del Mar","15:10:00","2026-03-01 15:12:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Rehoyada","15:30:00","2026-03-01 15:31:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Playa Langosta","15:46:00","2026-03-01 15:45:00",0,21,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Playa Tortugas","15:49:00","2026-03-01 15:47:00",0,1,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Base Forum","15:53:00","2026-03-01 15:54:00",0,9,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Base Forum","16:00:00","2026-03-01 15:58:00",18,0,12,216,"21.4"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Tortugas","16:06:00","2026-03-01 15:58:00",25,0,12,300,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Base Forum","16:00:00","2026-03-01 15:59:00",24,0,12,288,"21.4"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Las Perlas","16:14:00","2026-03-01 16:03:00",10,0,12,120,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Rehoyada","16:25:00","2026-03-01 16:20:00",0,32,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero ISSSTE","16:37:00","2026-03-01 16:28:00",0,3,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Multiplaza Villas Del Mar","16:53:00","2026-03-01 16:38:00",0,34,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Base Torito","17:00:00","2026-03-01 16:39:00",0,8,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Rehoyada","17:30:00","2026-03-01 17:38:00",10,0,12,120,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Playa Las Perlas","17:41:00","2026-03-01 17:45:00",0,0,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Paradero Playa Langosta","17:46:00","2026-03-01 17:55:00",0,4,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"ida","Base Forum","17:53:00","2026-03-01 17:59:00",0,6,12,0,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Base Forum","18:05:00","2026-03-01 18:05:00",24,0,12,288,"21.4"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Tortugas","18:11:00","2026-03-01 18:11:00",13,0,12,156,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Langosta","18:14:00","2026-03-01 18:14:00",13,0,12,156,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Playa Las Perlas","18:19:00","2026-03-01 18:19:00",6,0,12,72,"0"
"2026-03-01","Sunday   ","Doceava Edición","Ruta 1",1,"regreso","Paradero Rehoyada","18:30:00","2026-03-01 18:30:00",0,13,12,0,"0"
