"Marca temporal","¿Con que frecuencia vas a la playa?","¿En dónde les gustaría tomar el camión para ir a la playa?
Selecciona solamente 4","IDA
¿En que horario te gustaría que pase la ruta?
Selecciona 4","REGRESO
¿En que horario te gustaría que pase la ruta?
Selecciona 4","¿Usarías un transporte gratuito para ir a la playa los fines de semana?"
"2026/03/09 11:55:32 a. m. GMT-5","No voy a la playa","Bodega Aurrera Corales","10:00 am;12:00 pm;14:00 pm;16:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:22:09 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","10:00 am;12:00 pm;14:00 pm;16:00 pm","14:00 pm;16:00 pm;18:00 pm;20:00 pm","Si"
"2026/03/09 1:22:43 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;10:00 am;11:00 am;12:00 pm","13:00 pm;14:00 pm;15:00 pm;16:00 pm","Si"
"2026/03/09 1:22:59 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","10:00 am;11:00 am;12:00 pm;15:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 1:23:15 p. m. GMT-5","No voy a la playa","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;16:00 pm","12:00 pm;13:00 pm;14:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 1:24:25 p. m. GMT-5","1 vez al mes","Oxxo Rancho Nuevo","09:00 am;10:00 am;12:00 pm;13:00 pm","15:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:25:25 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","13:00 pm;14:00 pm;16:00 pm;17:00 pm","17:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:26:28 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;11:00 am;14:00 pm;15:00 pm","13:00 pm;14:00 pm;15:00 pm;16:00 pm","Si"
"2026/03/09 1:28:21 p. m. GMT-5","No voy a la playa","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","13:00 pm;14:00 pm;15:00 pm;16:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:29:31 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","12:00 pm;13:00 pm;14:00 pm;15:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm;20:00 pm","Si"
"2026/03/09 1:30:00 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","10:00 am;11:00 am;12:00 pm;13:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:30:17 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","13:00 pm;14:00 pm;15:00 pm;17:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:31:29 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","16:00 pm;17:00 pm;18:00 pm;19:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:32:58 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","09:00 am;10:00 am;13:00 pm;19:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:33:20 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","No"
"2026/03/09 1:33:25 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;10:00 am;11:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:34:36 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","09:00 am;10:00 am;11:00 am;12:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 1:36:16 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm","14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:37:14 p. m. GMT-5","No voy a la playa","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;10:00 am;12:00 pm;13:00 pm","16:00 pm;17:00 pm;18:00 pm;20:00 pm","Si"
"2026/03/09 1:38:50 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;11:00 am;12:00 pm;14:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:39:01 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","10:00 am;11:00 am;13:00 pm;14:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:39:18 p. m. GMT-5","No voy a la playa","Refaccionaria Ancona Av 20 de Novembre","10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 1:40:28 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Bodega Aurrera Corales","10:00 am;11:00 am;12:00 pm;13:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 1:42:03 p. m. GMT-5","3 veces al mes","Oxxo Rancho Nuevo","09:00 am","12:00 pm","Si"
"2026/03/09 1:42:36 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","12:00 pm;13:00 pm;14:00 pm;15:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:43:19 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","12:00 pm;13:00 pm;14:00 pm;15:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:43:29 p. m. GMT-5","3 veces al mes","Bodega Aurrera Corales","09:00 am;13:00 pm;16:00 pm","11:00 am;15:00 pm;18:00 pm","Si"
"2026/03/09 1:43:38 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","12:00 pm;13:00 pm;14:00 pm;15:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:45:06 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","10:00 am;12:00 pm;14:00 pm;18:00 pm","11:00 am;13:00 pm;16:00 pm;20:00 pm","Si"
"2026/03/09 1:45:27 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;10:00 am;11:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 1:45:38 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo","10:00 am","19:00 pm","Si"
"2026/03/09 1:46:06 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Oxxo Rancho Nuevo;Bodega Aurrera Corales","09:00 am;11:00 am;14:00 pm;18:00 pm","11:00 am;13:00 pm;16:00 pm;20:00 pm","Si"
